漢字,羅馬字,詞性/解說
田螺,chhân-lê,[名詞] 軟體動物。殼呈黑褐色的圓錐形，有一對細長的觸角，會利用腹足吸附在其他物體上，主要生活在溝渠或水田裡。
白講,pe̍h-kóng,[動詞] 白費口舌，說了也等於沒說。
生鍋,seⁿ-oe/siⁿ-e,[名詞] 用鑄鐵製成的鍋子。
白癜,pe̍h-tiō,[名詞] 白癜風、白斑。病名。是一種後天的慢性皮膚病，因缺乏黑色素，而在皮膚上形成不規則的乳白色斑紋。每位患者白斑部位的大小不一，但不會傳染。
白蟻,pe̍h-hiā,[名詞] 昆蟲名。產於熱帶及亞熱帶。外形似螞蟻，但是體色較淺，身體較柔軟，會蛀蝕木造的物品及衣服。
目鏡,ba̍k-kiàⁿ,[名詞] 眼鏡。
石鏨,chio̍h-chām,[名詞] 用來鑿刻岩石的工具。
目鏡仁,ba̍k-kiàⁿ-jîn/ba̍k-kiàⁿ-lîn,[名詞] 眼鏡的鏡片。
甘願,kam-goān,[副詞] 寧願、情願。自己願意，沒有半點勉強。
白鯧,pe̍h-chhiuⁿ,[名詞] 白鯧魚。魚類。體為側扁橢圓形，上下頜有細齒，主鰓蓋骨有鋸齒緣，或光滑。有背鰭一枚，尾鰭深分叉。非純白色，背部為淡淡的青黑色，腹部色較淡。
玉蘭花,gio̍k-lân-hoe,[名詞] 木蘭花、白蘭花。木本植物。開白色花，香氣怡人，臺灣早期婦女常將花朵用以裝飾衣物及增加香氣。現今則由小販賣給汽車駕駛人裝飾車輛。
生鐵,seⁿ-thih/siⁿ-thih,[名詞] 生鐵、鑄鐵。含鐵的礦石，經鼓風爐冶鍊，所得到的粗鐵。含碳量較高，性質既硬且脆。可繼續鍛鍊，除去碳和雜質，來製造熟鐵或鋼等。
白鐵仔,pe̍h-thih-á,[名詞] 不鏽鋼。
白鶴,pe̍h-ho̍h,[名詞] 禽鳥類。喙長，便於啄食小魚；腳長，便於涉水。
生癬,seⁿ sián/siⁿ sián,[動詞] 長癬。
白癬,pe̍h-sián,[名詞] 病名。一種頭癬。患者多為幼兒，因黴菌感染而引發，會使毛髮脫落。
生驚,chheⁿ-kiaⁿ/chhiⁿ-kiaⁿ,[名詞] 驚嚇。
立體,li̍p-thé,[名詞] 數學上指以長、寬、高三個面，在空間中組合成一個占有一定位置的物體，稱為「立體」。
白鑠鑠,pe̍h-siak-siak,[形容詞] 白晃晃。形容很白的樣子。
交,ka,[] 動詞前綴。置於某些特定動詞之前形成完整的詞。可能為語言底層的殘留，所以一般用字不固定，有一些已與其他漢字組成固定詞彙。
交,kau,"[動詞] 繳、給、付、託。
[動詞] 人與人之間的往來互動。
[動詞] 買賣。
[名詞] 時間、地點、狀態之間相會的地方。
[副詞] 雜和、一齊、同時。"
交,kiau,[連詞] 和。是新竹地區的閩南語用法。
亥,hāi,[名詞] 地支的第十二位。
亦,e̍k,[連詞] 也。
件,kiāⁿ,[量詞] 計算事物的單位。
任,jīm/līm,"[名詞] 職務、職責。
[動詞] 委派。授予職責。
[動詞] 擔負某種工作或責任。
[副詞] 無論。表示不管怎樣也不能達到某種目的。
[量詞] 計算擔任某種職務或具有某種身分期間的單位。"
份,hūn,"[量詞] 計算定量事物的單位。
[名詞] 整體中的一個單位。
[名詞] 人與人之間的分際。
[動詞] 參與、加入。用在商業活動中。"
仿,hóng,"[動詞] 學習、效法。
[名詞] 仿製的東西。
[形容詞] 假的。
[名詞] 讓人效法、學習的東西。"
伊,i,[代詞] 他、她、牠、它。第三人稱的單數代名詞。
伐,hoa̍h,"[動詞] 跨越。
[動詞] 邁開步伐地走。
[名詞] 腳步。
[量詞] 計算步伐的單位。"
休,hiu,"[動詞] 歇息。
[動詞] 停歇、終止、解除。"
伨,thīn,"[動詞] 支持、推舉。
[動詞] 取其平均。
[動詞] 婚配。
[動詞] 互相理會、爭執。"
兆,tiāu,"[數詞] 一萬億。
[名詞] 龜甲、獸骨等燒灼後所出現的裂紋，古人藉以占卜吉凶。後則通稱事情發生前所顯露的徵候、跡象。"
先,sian,"[形容詞] 首、第一。
[時間詞] 前。時間或次序上比較前面。
[形容詞] 對已經過世者的尊稱。"
先,seng,"[時間詞] 前。指時間上比較早的。
[副詞] 次序上比較前的。"
光,kng,"[名詞] 視覺所能接受的一種波，給人亮的感覺。
[動詞] 變亮。
[形容詞] 明亮、發亮的樣子。
[形容詞] 無遮掩。
[動詞] 通曉、明白。
[形容詞] 平滑。"
光,kong,"[名詞] 視覺所能接受的一種波，給人亮的感覺。
[形容詞] 閃亮耀眼，多用在抽象的感覺。"
全,choân,"[形容詞] 所有、整個。
[形容詞] 完備、不缺。"
交代,kau-tài,"[動詞] 囑咐、吩咐。
[動詞] 遞交、移交。
[動詞] 解釋、說明。"
仿仔雞,hóng-á-ke/hóng-á-koe,[名詞] 常見家禽的一種。不同品種相互混生的半土雞。
先生,sian-siⁿ,"[名詞] 教師。
[名詞] 醫生。
[名詞] 稱謂。對男性的稱呼。
[名詞] 對知識份子、有德行或專門技能者、道士的尊稱。"
先生娘,sian-siⁿ-niû,[名詞] 師母、醫生夫人。稱呼醫生或老師的妻子。
先生媽,sian-siⁿ-má,"[名詞] 太師母。稱呼醫生或老師的母親。
[名詞] 巫婆。稱呼道教中從事各種儀式、代人祈禱、求鬼神賜福、解決問題的女性。
[名詞] 女醫師。"
兇狂,hiong-kông,[形容詞] 慌張。
交往,kau-óng,[動詞] 人與人之間的相互往來。
交易,kau-e̍k,[名詞] 買賣、生意。
交易,ka-ia̍h,[形容詞] 指生意興隆的樣子。
光明,kong-bêng,[名詞] 比喻希望。
先知,sian-ti,"[名詞] 預言家。
[動詞] 預先知道。
[名詞] 智慧、知覺比一般人還高的人。"
交流,kau-liû,[動詞] 相互往來，彼此影響。
伙食,hóe-si̍t/hé-si̍t,[名詞] 團體的飲食、飯菜。
光面,kng-bīn,[形容詞] 光滑的表面。
休息,hiu-sek,[動詞] 暫停工作以解除疲勞恢復體力。
交涉,kau-sia̍p,[動詞] 相互協商，討論彼此間有關的事務。
交情,kau-chêng,[名詞] 人與人相互往來所產生的情誼。
交接,kau-chiap,"[動詞] 移交和接替。
[動詞] 相接、連接。
[動詞] 接洽。"
交通,kau-thong,[名詞] 汽車、船舶、飛機等各種運輸工具在陸地、水上或空中的往來。
交陪,kau-pôe,"[動詞] 應酬、交際往來。
[名詞] 交情。"
交割,kau-koah,"[動詞] 指交易時，將錢與貨物結清；現在多用於股市。
[動詞] 移交時，雙方交代並結清相關事項。"
光復,kong-ho̍k,[動詞] 失去再收回。
交插,kau-chhap,"[動詞] 往來、交往。
[名詞] 事物間的連帶關係。"
交換,kau-ōaⁿ,[動詞] 調換、對換。
光景,kong-kéng,"[名詞] 情況、境況。
[名詞] 風景。"
交替,kau-thè/kau-thòe,[名詞] 替死鬼。在民俗信仰上，相傳人意外身亡之後，魂魄會留在原地，只要有人在原地區以相同方式死亡，自己便能被取代而投胎轉世，故冤魂為了抓取他人魂魄，便害人致死。
交椅,kau-í,[名詞] 有扶手有靠背的椅子。
全然,choân-jiân/choân-liân,[副詞] 全部、完全。
交結,kau-kiat,[動詞] 結交。結識相交。
先進,sian-chìn,"[名詞] 先輩、前輩。
[形容詞] 指最進步，可成為學習、效仿對象的。"
份量,hūn-liōng,"[名詞] 事物的輕重、多寡。
[名詞] 引申為人際之間的權力、地位。"
企業,khì-gia̍p,[名詞] 從事生產、運輸、貿易等經濟活動的營利事業。依出資來源的不同，可分為公營企業和私人企業。
交落,ka-la̍uh,"[動詞] 掉下。
[動詞] 丟失。"
光榮,kong-êng,[名詞] 光彩榮耀，指很有面子。
交際,kau-chè,[名詞] 人與人之間彼此往來的聚會應酬。
先輩,sian-pòe,[名詞] 前輩、先進。尊稱年齡或輩份較長的人。
休學,hiu-ha̍k,[動詞] 學生因故暫時停止課業，但能保留學籍，以後再繼續就學。
交懍恂,ka-lún-sún,[名詞] 身體因受驚、害怕或寒冷而發抖。
光頭,kng-thâu,[名詞] 頭上不留頭髮。
份額,hūn-gia̍h,[名詞] 額度。占有額，每一份應有的固定數目。
交關,kau-koan,[動詞] 買賣、惠顧。
先覺,sian-kak,[名詞] 先知。智慧比常人高，可以預先領悟事理的人。
共,kā,"[介詞] 給。用來加強語氣。
[介詞] 跟、向。
[介詞] 幫……。
[介詞] 把、將。後加「伊」而「伊」省略時，則不變調。"
共,kāng,"[介詞] 跟、向。
[動詞] 作弄、捉弄。"
共,kiōng,"[動詞] 合計、總計。
[形容詞] 一起。
[名詞] 指共產黨。"
再,chài,[副詞] 重複、第二次、又一次。
冰,peng,"[名詞] 水在攝氏零度以下所凝結成的固體。
[形容詞] 形容塊狀、透明、堅硬、像冰塊一樣的東西。
[動詞] 用低溫保存物品。
[形容詞] 涼冷的感覺。
[形容詞] 低溫的。
[動詞] 擱著不用。"
刐,táiⁿ,"[動詞] 用刀砍斷。
[動詞] 撈、勒索。是比較粗俗的用法。
[動詞] 騙取。是比較粗俗的用法。"
刑,hêng,"[名詞] 刑罰。法律上處罰罪犯方法的總稱。
[動詞] 刑求、用刑。"
划,kò,[動詞] 撥水前進。
列,lia̍t,"[量詞] 計算排成行伍的單位。
[動詞] 安排、放入。
[形容詞] 各個。"
匠,chhiūⁿ,[名詞] 泛稱懷有技藝的人。
印,ìn,"[動詞] 將文字或圖案留在紙張或物品上。
[名詞] 圖章。
[動詞] 用模型鑄造。
[名詞] 做東西的模型。
[名詞] 痕跡。"
合,ha̍h,"[動詞] 契合。
[動詞] 符合、吻合。
[動詞] 適合、協調。
[動詞] 中意。"
合,ha̍p,"[動詞] 閉合。
[動詞] 聚攏在一起。
[動詞] 相符、不違背。
[形容詞] 共同的、一起的。"
合,kap,[量詞] 計算容積的單位。一升的十分之一。
吉,kiat,[形容詞] 美好的、善的。
吊,tiàu,"[動詞] 懸掛。
[動詞] 取消、收回。
[動詞] 一種傳統療法，在傷患處貼藥膏引流膿液。"
同,tông,"[形容詞] 一樣。
[動詞] 會合、聚集。
[動詞] 一致。"
名,bêng,"[名詞] 人或事物的稱號。
[形容詞] 著稱的、眾人都知道的。
[名詞] 聲譽。"
名,miâ,"[名詞] 人或事物的專用稱號。
[名詞] 聲譽。
[名詞] 成績的順位。
[量詞] 計算人的單位。等於「位」(ūi)的用法，但是大多接用職業名稱。"
吐,thó͘,"[動詞] 從口中出來。
[動詞] 露出。
[形容詞] 突出。"
吐,thò͘,"[動詞] 嘔、反胃。
[動詞] 發芽、冒出來。
[動詞] 吐出。"
向,àⁿ,[動詞] 彎下來、俯下來。
向,hiàⁿ,[動詞] 往後傾斜、往後倒。
向,hiòng,"[動詞] 面對、趨向。
[名詞] 方向。"
向,ǹg,"[動詞] 面對、趨向。
[動詞] 期望。"
囝,kiáⁿ,"[名詞] 兒女、孩子。
[名詞] 專指男生。
[] 名詞後綴。強調小或少量。"
回,hôe/hê,"[動詞] 掉轉。
[動詞] 返、歸。
[動詞] 回應、還擊。
[動詞] 改變。
[動詞] 答覆。
[動詞] 謝絕、辭去。
[量詞] 計算事情、行為、動作、時間、次數或長篇小說的段落單位。"
囟,sìn,[名詞] 剛出生嬰兒因臚骨尚未成熟密合，所以可看到腦部血管跳動，這個頭頂前部的地方叫做「囟」。
因,in,"[名詞] 原由、緣故。
[介詞] 由於。"
在,chāi,"[介詞] 引介時間、地點或事情的範圍。
[形容詞] 穩。指東西穩固或人穩重。
[介詞] 任憑。
[介詞] 對於、根據。
[動詞] 成熟。"
各人,kok-lâng,[代詞] 每個人、各自。
合力,ha̍p-le̍k,[動詞] 協力、共同出力。
在人,chāi-lâng,[動詞] 隨人、任人、由人。
再三,chài-saⁿ,[副詞] 屢次。一次又一次。
吐大氣,thó͘-tōa-khùi,[動詞] 深深的嘆息。
吊大筒,tiàu tōa-tâng,[動詞] 吊點滴。將藥劑以慢速滴漏注入靜脈血管的注射方式。
吉凶,kiat-hiong,[名詞] 福禍、好壞。
吉日,kiat-ji̍t/kiat-li̍t,[名詞] 好日子。
同心,tông-sim,[名詞] 一心、齊心。同樣的意志、想法。
回心轉意,hôe-sim-choán-ì/hê-sim-choán-ì,[動詞] 改變回原來的心意。
名片,bêng-phìⁿ,[名詞] 名刺。載有姓名、職位等，用來自我介紹或作為與人聯繫的紙片。
印仔,ìn-á,[名詞] 印章。
名冊,miâ-chheh,[名詞] 名冊、名籍。登記姓名的簿冊。
囡仔,gín-á,[名詞] 小孩子。
在世,chāi-sè,[動詞] 生存於世上。
囡仔人,gín-á-lâng,[名詞] 小孩子、未成年的人。
囡仔工,gín-á-kang,[名詞] 年齡幼小的勞動者、童工。
囡仔兄,gín-á-hiaⁿ,[名詞] 對小男孩的一種客氣的當面稱呼。
囡仔囝,gín-á-kiáⁿ,[名詞] 小孩子。
囡仔疕,gín-á-phí,[名詞] 小毛頭。指小孩，但含有貶意。
囡仔性,gín-á-sèng,[形容詞] 孩子氣、幼稚。成年人未脫稚氣，表現不成熟的脾氣或性格。
囡仔栽,gín-á-chai,[名詞] 指還在成長中的小孩子。
囡仔款,gín-á-khoán,[形容詞] 孩子氣。指一個人的言行舉止未脫稚氣，像個小孩子。
囡仔歌,gín-á-koa,[名詞] 童謠。兒童唱唸的歌謠。
囡仔嬰,gín-á-eⁿ/gín-á-iⁿ,[名詞] 嬰孩。
合用,ha̍h-ēng,[動詞] 適用。
吐目,thó͘-ba̍k,[名詞] 突眼、鼓眼泡。眼球突出。這種外觀特徵除了天生遺傳以外，大多是甲狀腺亢進或腦部、眼部病變引起。
在生,chāi-seⁿ/chāi-siⁿ,[名詞] 生前、在世。人活著的時候。
吉兆,kiat-tiāu,[名詞] 好預兆、吉祥的徵兆。
吐吐,thó͘-thó͘,[動詞] 伸出、突出。
向向,hiàⁿ-hiàⁿ,[形容詞] 向後傾斜。
同年,tâng-nî,[名詞] 同一年。
名字,miâ-jī/miâ-lī,[名詞] 姓名。
在地,chāi-tē/chāi-tōe,[名詞] 當地、本地 。
在地人,chāi-tē-lâng/chāi-tōe-lâng,[名詞] 本地人。居住在當地的人。
吊死,tiàu--sí,[動詞] 上吊自殺。
印色,ìn-sek,[名詞] 印泥。蓋章時所用的顏料。
吐舌,thó͘-chi̍h,[動詞] 伸出舌頭。表示驚訝或不好意思的動作。
吐血,thò͘-hoeh/thò͘-huih,"[動詞] 嘔出血來。
[動詞] 形容情緒激動或生氣。
[形容詞] 說謊的。"
吐肉箭,thó͘-bah-chìⁿ,[動詞] 傷口治療不當，以致於癒合的時候，長出了部分的新肉。
各位,kok-ūi,[名詞] 每位、諸位。
名利,bêng-lī,[名詞] 名譽和利益。
同志,tông-chì,"[名詞] 志趣、志向相同的人。
[名詞] 稱同一個政黨或有共同理想的人。
[名詞] 同性戀者的俗稱。"
回批,hôe-phoe/hê-phoe,"[動詞] 回信、覆函。
[名詞] 回覆的信函。"
冰角,peng-kak,[名詞] 冰塊。
列車,lia̍t-chhia,[名詞] 若干車廂連接成一列的火車。
吊車,tiàu-chhia,[名詞] 一種用來將重物吊起、提高、放低或水平移動的機械。
吊車尾,tiàu-chhia-bóe/tiàu-chhia-bé,[形容詞] 敬陪末座。原意為剛好趕上最後一個上車，後引申為在比賽中排最後一名。
刑事,hêng-sū,"[名詞] 行為觸犯刑法，或依其他法律應該處以刑罰的法律案件。相對於「民事」(bîn-sū)而言。
[名詞] 刑事警察的簡稱。"
合併,ha̍p-pèng,[動詞] 將分散的東西併起來。
同事,tông-sū,[名詞] 同僚。在同一單位工作或一起從事某件工作的人。
在來米,chāi-lâi-bí,[名詞] 臺灣稻米類型之一。屬於秈稻型的稻米。臺灣早期由中國大陸引入秈稻品種，日治時代由日本人引進粳稻品種。為了區別起見，改良後的秈稻品種稱作「在來米」；改良後的粳稻品種則稱作「蓬萊米」(hông-lâi-bí)。
印刷,ìn-soat,[動詞] 運用照相和分色技巧，把文字、圖畫等原稿製成印版，加上油墨壓印，並可連續印出的技術。依印版的形式可以分為凸版、平版、凹版及網版等四種印刷方式。
囝兒,kiáⁿ-jî/kiáⁿ-lî,[名詞] 兒子、子女。
同姒仔,tâng-sāi-á,[名詞] 妯娌。稱謂。兄弟的妻子彼此互稱。
同居,tông-ki/tông-ku,"[動詞] 居住一處，共同生活在一起。法律上規定同居是夫妻間應盡的義務。
[動詞] 俗指男女沒有經過結婚儀式而生活在一起。"
冰枝,peng-ki,[名詞] 冰棒。在模型中倒入各式各樣的材料，並插入竹條或木條，放在冷凍庫中，凍結成的棒狀冰品。
因果,in-kó,"[名詞] 原因和結果。事情演變的前後關連。
[名詞] 佛教語。即因和果。佛教認為一切的生命形態和生活遭遇，都是過去意志、行為的果，而過去意志、行為則是造成果的因。因和果之間是相對的關係。"
合法,ha̍p-hoat,[形容詞] 合於法令規範。
再版,chài-pán,[動詞] 第二次出版。
合股,ha̍p-kó͘,[動詞] 合夥。幾個人集合資本共同經營事業。
同門,tâng-mn̂g,[名詞] 連襟。稱謂，指姊妹的丈夫彼此互稱。
向前,hiòng-chiân,[動詞] 往前、向著前方。
合奏,ha̍p-chàu,[動詞] 多種樂器聯合演奏。
在室女,chāi-sek-lí/chāi-sek-lú,[名詞] 處女、閨女。未出嫁的女子。
危急,gûi-kip,[名詞] 危險急迫。
因為,in-ūi,[連詞] 表示事情的連接。
合約,ha̍p-iok,[名詞] 經雙方同意所簽定的契約。
同胞,tông-pau,"[名詞] 同國、同民族的人。
[名詞] 同父母所生的兄弟姊妹。"
合倚,ha̍p-óa,[動詞] 合攏。靠近在一起。
合家,ha̍p-ka,[名詞] 全家人。
囝孫,kiáⁿ-sun,[名詞] 兒女和孫子，泛指後代。
在座,chāi-chō,[名詞] 在座位上的人，可用來泛指參與者或出席者。
同時,tông-sî,[副詞] 同一個時候。
向時,hiàng-sî,[時間詞] 從前、昔日。
合格,ha̍p-keh,[名詞] 符合規定的標準。
吐氣,thó͘-khùi,[動詞] 嘆氣。
吊鬼仔,tiàu-kúi-á,[名詞] 京胡。一種樂器。形狀像二胡而較小的拉弦樂器；有兩根弦，琴筒用竹做成，音色高昂、尖銳，主要用於京劇伴奏。
合唱,ha̍p-chhiùⁿ,[動詞] 許多人齊聲歌唱。
印堂,ìn-tông,[名詞] 眉心。兩眉中間的部位，是看面相時觀察運勢的重要部位。
同情,tông-chêng,[動詞] 看到別人的遭遇而感到憐憫。
名望,bêng-bōng,[名詞] 名譽和聲望。
向望,ǹg-bāng,[動詞] 盼望、希望。
共產,kiōng-sán,[名詞] 一種財產公有、全體公民大致按照各自需要分享共同財富的政治經濟組織制度。
合理,ha̍p-lí,[形容詞] 符合道理。
名產,bêng-sán,[名詞] 土產。某一地方具有代表性，能代表當地文化、物產的東西。
吉祥,kiat-siông,[名詞] 吉利祥瑞。
划船,kò-chûn,[動詞] 用槳撥水讓船前進。
吊脰,tiàu-tāu,[動詞] 上吊自殺。
在野,chāi-iá,[形容詞] 本來指不在朝廷擔任官職，後來借指不作官、不當政。
合喙,ha̍p-chhùi,[名詞] 嘴巴合起來。
向善,hiòng-siān,[動詞] 歸向善良。
名單,miâ-toaⁿ,[名詞] 開列姓名的單子。
囝婿,kiáⁿ-sài,[名詞] 女婿。稱謂。女兒的丈夫。
合掌,ha̍p chióng,[動詞] 一種佛教儀式，兩掌相合以表示尊敬。
吉普,jì-puh,[名詞] 吉普車。一種輕便而堅固的中、小型汽車。性能機動靈活，四輪傳動，能適應高低不平的道路，適合在山路上行進，近來發展成為一種受歡迎的民用汽車。借自英語Jeep。
吊猴,tiàu-kâu,"[動詞] 買東西的時候沒錢可付，會像猴子一樣被吊起來，被人留難。
[動詞] 有婦之夫偷情被抓而被吊起來。"
同窗,tông-chhong,[名詞] 同學。指在同一個班級中或學校裡一起求學的伙伴。
回答,hôe-tap/hê-tap,[動詞] 回應、回話。
印象,ìn-siōng,[名詞] 感官受外界事物刺激而留存於記憶中的意象。
吊傷,tiàu-siong,[動詞] 中醫以貼藥膏來治療人體內傷。
同意,tông-ì,[動詞] 贊成、認可。
同感,tông-kám,[名詞] 對事物有相同的感受。
再會,chài-hōe,[動詞] 再見。道別時的客套話。
向腰,àⁿ-io,[動詞] 彎腰。
吐腸頭,thó͘-tn̂g-thâu,[名詞] 脫肛。病名。直腸或乙狀結腸從肛門脫出的病症。大多是由於長期便秘、腹瀉、內痔等狀況引起。嚴重時必須用手術切除。
吊鼎,tiàu-tiáⁿ,[動詞] 斷炊。無米可煮，所以把鍋子吊起來閒置；比喻斷炊。
吊槔,tiàu-o͘,[名詞] 桔槔。在井旁的樹上或架子上用繩子掛一個杠杵，一端綁著水桶，另一端綁在大石頭上，一起一落，打水時比較省力。
各種,kok-chióng,[名詞] 每一種。
合算,ha̍p-sǹg,[動詞] 合計。
因端,in-toaⁿ,[名詞] 原因、緣故。
刑罰,hêng-hoa̍t,[名詞] 對犯罪者所執行的處罰。
吊膏,tiàu-ko,[名詞] 藥膏、狗皮藥膏。一種治療疔瘡的藥膏，是中醫特有的醫療方式。
各馝,kok-pih,[形容詞] 孤僻、滑稽。形容一個人的性情、脾氣特別古怪、乖戾，或指稱人的個性滑稽、詼諧。
回魂,hôe-hûn/hê-hûn,[動詞] 還魂。死掉的人又復活。
同齊,tâng-chê,[副詞] 同時一起。
吐憐涎,thò͘-liân-siân,[動詞] 胡說八道、信口開河。指人沒有根據，亂說話。
各樣,koh-iūⁿ,[形容詞] 異樣、異狀。不一樣、不同的狀況。
冰箱,peng-siuⁿ,[名詞] 食物或藥品的冷藏器，裡面放冰塊或是利用電力保持低溫。
同學,tông-ha̍k,[名詞] 指在同一個班級中或學校裡一起求學的伙伴。
危機,gûi-ki,"[名詞] 潛藏的危險、禍害。
[名詞] 極度危險的緊要關頭。"
吊橋,tiàu-kiô,[名詞] 以大鋼索為主體，用許多鐵條把橋面吊在鋼索上的橋梁。
冰糖,peng-thn̂g,[名詞] 用精糖濃液煮製而成的塊狀食糖，多為白色透明的結晶體。
合辦,ha̍p-pān,[動詞] 共同主辦。
危險,gûi-hiám,[名詞] 不安全。
吊頷,tiàu-ām,[] 上吊自殺。
回頭,hôe-thâu/hê-thâu,"[動詞] 回來。
[動詞] 有所覺悟而改過遷善。"
吊癀,tiàu-hông,[動詞] 貼藥膏以消炎。
吐穗,thò͘-sūi,[動詞] 稻、麥、高粱等禾本科植物的穗，由捲成筒狀的葉子裡露出來。
名聲,miâ-siaⁿ,[名詞] 名譽、名望。
在職,chāi-chit,[動詞] 正在擔任某職務。
回覆,hôe-hok/hê-hok,"[動詞] 答覆。
[動詞] 回信。"
合軀,ha̍h-su,[形容詞] 合身。衣服大小適中。
名額,miâ-gia̍h,[名詞] 限定的人數。
在額,chāi-gia̍h,[形容詞] 定額。編制內、固定的職位。
名簿,miâ-phō͘,[名詞] 名冊、名籍。登記姓名的簿冊。
吊籃,tiàu-nâ,[名詞] 早期沒有冰箱的時候，用來裝肉、菜的竹編有蓋提籃。魚、肉放於籃內，蓋上蓋子，高高吊起，可以防止貓兒偷吃，也可以預防灰塵或蚊蠅沾食。也叫「氣死貓」。
在欉黃,chāi-châng-n̂g,[熟語] 樹頭鮮。成熟度為八、九分以上才摘取下來的水果。它的味道比六、七分熟就摘取下來催熟的水果甜美。引申「催熟」臺灣閩南語說成「隱」。「在欉黃」的水果不需催熟，說成「無隱」，諧音「無穩」，意思就是「不穩當」。
印鑑,ìn-kàm,[名詞] 為防假冒，登存於有關機關，以備核對鑑證的圖章印樣，多用於房屋及土地等不動產之登錄及變更。
地,tē/tōe,"[名詞] 人類萬物棲息生長的場所。
[名詞] 區域、位置。"
圳,chùn,"[名詞] 田間的水溝。
[名詞] 為灌溉而建的水路。"
多,to,"[形容詞] 指數量龐大，通常用於抽象性事務。
[形容詞] 多餘的，不必要的。"
奸,kan,"[形容詞] 陰險狡猾的。
[名詞] 出賣國家、人民利益的人。"
好,hó,"[嘆詞] 表示贊成或許可。
[形容詞] 美、善、佳等與「壞」相對的正面形容。
[副詞] 表示程度上容易、效果佳。
[名詞] 優點、好處。
[副詞] 表示完成、結束。
[副詞] 表示應該、可以去做某事。
[形容詞] 感情和睦。"
好,hò͘ⁿ,[動詞] 喜愛。
如,jû/lû,"[動詞] 似、像、若。
[動詞] 順從、依照。
[動詞] 及、比得上。"
妃,hui,"[名詞] 古代天子配偶的稱呼，地位僅次於皇后。
[名詞] 除天子之外，太子及諸侯的正妻也叫做「妃」。"
字,jī/lī,"[名詞] 文字。書寫的符號，用來傳達訊息。
[名詞] 字據、證明文件較古的用法。"
存,chûn,"[動詞] 儲蓄。
[動詞] 保留。
[動詞] 心裡懷有某種意念。"
宅,the̍h,[名詞] 居所、住處 。
守,chiú,[動詞] 把持，看管。
守,siú,"[動詞] 按照。
[動詞] 等待，等候。
[動詞] 把持。"
安,an,"[形容詞] 完好無事。
[動詞] 勸慰他人放心。
[動詞] 妥善的處理。
[動詞] 設置、放設。"
寺,sī,[名詞] 供奉神佛的地方。
尖,chiam,"[形容詞] 形容末端細小的樣子。
[形容詞] 眼睛敏銳。
[形容詞] 銳利、刻薄。形容說話聲音高亢而令人不舒服，或是指言語刻薄。"
州,chiu,"[名詞] 古代行政區域的名稱。
[名詞] 水中可居住的沙地。"
帆,hoân,[] 釋義參見【帆】phâng 條。
帆,phâng,"[名詞] 掛在船桅上，藉由風力使船前進的布幔。
[名詞] 帆轉的次數。
[名詞] 虹。"
年,liân,"[量詞] 計算時間的單位。地球繞行太陽公轉一圈所需的時間為一年。
[名詞] 人生中的某一段時期。
[名詞] 歲數、年齡。
[名詞] 姓氏。"
年,nî,[量詞] 計算時間的單位。地球繞行太陽公轉一圈所需的時間為一年。
庄,chng,[名詞] 田家村莊。
地下,tē-hā/tōe-hā,"[方位詞] 地面以下。
[名詞] 指不公開、祕密的。"
安土,an-thó͘,[動詞] 埋葬、安葬。
年久月深,nî-kú-goe̍h-chhim/nî-kú-ge̍h-chhim,[形容詞] 久而久之、日積月累、經年累月。經歷過一段長久的時間。
地下道,tē-hā-tō/tōe-hā-tō,[名詞] 設於地面下的通道。
地支,tē-chi/tōe-chi,[名詞] 古代計時的符號，包括「子」(chú)、「丑」(thiú)、「寅」(în)、「卯」(báu)、「辰」(sîn)、「巳」(chī)、「午」(gō͘)、「未」(bī)、「申」(sin)、「酉」(iú)、「戌」(sut)、「亥」(hāi)十二地支。另有十天干來配合計年。
地方,tē-hng/tōe-hng,"[名詞] 區域、地區。
[名詞] 對國家或中央政府而言。"
好天,hó-thiⁿ,[名詞] 好天氣。晴朗、氣溫宜人，令人覺得舒爽。
好心,hó-sim,"[名詞] 善心、善意。
[形容詞] 善心、善意。"
好歹,hó-pháiⁿ,"[形容詞] 好的與壞的。
[副詞] 反正、無論如何。"
存心,chûn-sim,[動詞] 心懷某種意念、居心。
安心,an-sim,[動詞] 定下心來，內心沒有掛念。
如夫人,jû-hu-jîn/lû-hu-lîn,[名詞] 姨太太、妾。
字爿,jī-pêng/lī-pêng,[名詞] 偏旁。指漢字合體字的上下左右任一部分。
地牛翻身,tē-gû-hoan-sin/tōe-gû-hoan-sin,[名詞] 地震。由地球內部的變動所引起的地殼震動。
地主,tē-chú/tōe-chú,[名詞] 土地所有權人。
好兄弟,hó-hiaⁿ-tī,"[名詞] 好朋友。交情深的朋友，彼此情誼深厚，如一家人。
[名詞] 孤魂野鬼、遊魂。"
年冬,nî-tang,"[時間詞] 年分、年歲。
[名詞] 收成、收穫。"
奸巧,kan-khiáu,[形容詞] 形容人心術不正，陰險狡猾。
字母,jī-bú/lī-bú,"[名詞] 拼音文字或音節文字的書寫符號，如希臘字母、阿拉伯字母、英文字母。
[名詞] 傳統聲韻學稱聲母的代表字為字母。如三十六字母。"
帆布,phâng-pò͘,[名詞] 用棉、麻製成的粗布，堅固耐用，可做船帆、帳篷等。
