漢字,羅馬字,詞性/解說
十八骰仔,si̍p-pat-tâu-á,[名詞] 骰子。一種遊戲或賭博用的小方塊。六面分別刻上一、二、三、四、五、六點，一、四漆紅色，其餘為黑色。
十八變,cha̍p-peh-piàn/cha̍p-poeh-piàn,[形容詞] 十八種變化。用來比喻或形容事物變化多端，或是借用佛家語，比喻本領高強。
七夕,chhit-sia̍h,[名詞] 農曆七月初七夜晚。相傳天上的牛郎、織女會在當晚相會。對臺灣人來說，七月初七是「七娘媽生」(Chhit-niû-má-seⁿ)，臺南還有「做十六歲」(chò cha̍p-la̍k hòe)的習俗。
了工,liáu-kang,[動詞] 白費工夫。
人工,lâng-kang,"[名詞] 人力、人手。人的勞動力或是指可以工作的人。
[名詞] 工資。從事工作所得的報酬。"
人才,lâng-châi,[名詞]  外表、儀容。
入土,ji̍p-thó͘/li̍p-thó͘,[動詞] 埋葬。將亡者的遺體葬入土中。
刁工,thiau-kang,"[副詞] 專程、特地。
[副詞] 故意。"
人中,jîn-tiong/lîn-tiong,[名詞] 人臉部鼻子下，嘴脣上方凹下部分。
七孔,chhit-khóng,[名詞] 七竅。指人臉部的七個孔穴，包括兩眼、兩耳、兩鼻孔和嘴巴。
九孔,káu-kháng,[名詞] 貝類。貝葉為橢圓形，上面有九個上下的吸水孔，喜歡棲息在數公尺深的岩礁地形中。有野生採集和人工養殖兩種來源，可以做為海鮮食材，是臺灣東北角、東部海岸及澎湖縣等岩岸地區的著名水產養殖貝類。
二手,jī-chhiú/lī-chhiú,"[名詞] 副手、助手、助理。技術工作中的助手、協助處理事務的人。
[名詞] 中古貨。已經使用過，又再出售的貨品。"
入木,ji̍p-bo̍k/li̍p-bo̍k,[動詞] 入殮。把死者放進棺木中。
八仙,pat-sian,[名詞] 神話傳說中的八位仙人，漢鍾離、張果老、韓湘子、鐵拐李、曹國舅、呂洞賓、藍采和、何仙姑八人。
刀仔,to-á,[名詞] 小刀。
八仙桌,pat-sian-toh,[名詞] 一種用來祭祀的方桌。通常置於大廳，祭祀時用來陳列祭品，與用來供奉神明或祖先牌位的「尪架桌」(ang-kè-toh)合稱「頂下桌」(téng-ē toh)。
八仙綵,pat-sian-chhái,[名詞] 繡有八仙過海的紅色彩幔，在喜事節慶時懸掛在門楣上。
刁古董,tiau-kó͘-tóng,[動詞] 刻意作弄、為難別人。
了本,liáu-pún,[動詞] 蝕本、虧本。
人民,jîn-bîn/lîn-bîn,[名詞] 百姓、國民。居住在一國家內具有應享權利與應盡義務的人。
人生,jîn-seng/lîn-seng,[名詞] 人的一生、生命歷程。
刀石,to-chio̍h,[名詞] 磨刀石。
十全,cha̍p-chn̂g,[形容詞] 完滿、齊全。完美無缺憾。
十全,si̍p-choân,"[名詞] 用於中醫藥名。
[形容詞] 完美、齊全。完美無缺憾。"
八字,peh-jī/poeh-lī,[名詞] 中國傳統命相學家，用人出生的年、月、日、時，以天干、地支配合成八個字，來推斷一生的命運。
七字仔,chhit-jī-á/chhit-lī-á,[名詞] 七字調。歌仔戲使用率非常高的一種調，七個字為一句，每段有四句。
十字架,si̍p-jī-kè/si̍p-lī-kè,[名詞] 西洋古代的一種刑具。由於耶穌基督為了救贖世人而被釘死在十字架上，所以後世就用十字架來代表基督本身或對基督教的信仰。
八字跤,pat-jī-kha/pat-lī-kha,[名詞] 八字腳。走路內八字或外八字。
十字路,si̍p-jī-lō͘/si̍p-lī-lō͘,[名詞] 縱橫兩條道路交接之處。
七早八早,chhit-chá-peh-chá/chhit-chá-poeh-chá,"[時間詞] 一大清早。
[時間詞] 形容時間還早。"
入耳,ji̍p-ní/li̍p-ní,[副詞] 聽進耳裡。
刀肉,to-bah,[名詞] 指刀子的主體部位。
七老八老,chhit-lāu-peh-lāu/chhit-lāu-poeh-lāu,[形容詞] 七老八十。形容年紀很老。
了尾仔囝,liáu-bóe-á-kiáⁿ/liáu-bé-á-kiáⁿ,[名詞] 敗家子。不務正業、傾家蕩產而無法自立的子孫。
二步七仔,--jī-pō͘-chhit-á/--lī-pō͘-chhit-á,[名詞] 本事、本領。形容人對事情有一點處理的本事、能力。
八角,peh-kak/poeh-kak,[名詞] 八角茴香的果實。茶褐色，呈星狀排列，一般多用作食品的佐料。
十足,cha̍p-chiok,[形容詞] 完全、充分。
九芎仔,kiú-kiong-á,[名詞] 九芎樹。木本植物。木質堅韌，可以拿來做手杖，根部可以拿來入藥，治瘧疾。
人事,jîn-sū/lîn-sū,"[名詞] 機關中的人員升調、獎懲、任免等事務。
[名詞] 人力。人的作為。
[名詞] 公關。用來送禮的物品。"
八卦,pat-kòa,"[名詞] 術數用語。易經中八個基本卦名的合稱。相傳為伏羲氏所作，由陽爻和陰爻組成。後來也用來指稱八角形物品。
[名詞] 椰子蟹。甲殼類動物。可以爬上椰子樹，用兩隻螯剝食椰肉，故命名為「椰子蟹」。又因為體型碩大，個性凶蠻，頭胸部如八卦圖紋，俗稱「八卦」。"
卜卦,pok-kòa,[動詞] 占卜。推斷未來的吉凶禍福。
二房,jī-pâng/lī-pâng,[名詞] 家族中次男的支系。
人物,jîn-bu̍t/lîn-bu̍t,[名詞] 有品格、才能出眾的人。
十花五色,cha̍p-hoe-gō͘-sek,[形容詞] 五花八門、形形色色。
入門,ji̍p-mn̂g/li̍p-mn̂g,"[動詞] 進門。
[動詞] 婦女嫁到夫家。
[動詞] 初步學會。
[名詞] 指初階讀物，多用在書名。"
人客,lâng-kheh,[名詞] 客人、賓客、顧客。
了後,liáu-āu,[時間詞] 之後。 
七星,chhit-chheⁿ/chhit-chhiⁿ,[名詞] 北斗星、北斗七星。星座名。由七顆星組合、排列在北方天空的星象，形狀像斗杓。是中國數術、宗教儀式中重要的星象，在西方星象學上屬於大熊星座。
二指,jī-cháiⁿ/lī-cháiⁿ,[名詞] 食指。
刁持,tiau-tî,"[副詞] 故意、存心。
[副詞] 特地、特意。"
刁故意,tiau-kò͘-ì,[副詞] 存心、故意。
刀柄,to-pèⁿ/to-pìⁿ,[名詞] 刀子的把手。
八珍,pat-tin,"[名詞] 漢方藥劑的名稱，包含：當歸、川芎、白芍、熟地、人參、白朮、茯苓、甘草。
[形容詞] 三八。形容人的言行不莊重。"
人面,lâng-bīn,[名詞] 人脈。
人倫,jîn-lûn/lîn-lûn,[名詞] 人類的倫常，人類相處的各種關係。
人員,jîn-oân/lîn-oân,"[名詞] 擔任某種職務的人。
[名詞] 人數。"
入厝,ji̍p-chhù/li̍p-chhù,[動詞] 新居落成，搬入新家。
七娘媽,Chhit-niû-má,[名詞] 註生娘娘或是織女。女性神明，生日為農曆七月初七，當天會用油飯、花朵、胭脂水粉祭祀。
七娘媽生,Chhit-niû-má-seⁿ/Chhit-niû-má-siⁿ,[名詞] 農曆七月初七。七星娘娘誕辰。「七娘媽」就是七星娘娘，傳說是孩童的保護神。以前農業社會醫藥不發達，孩子常夭折或生病，所以人們會祈求「七娘媽」保佑小孩平安長大，因此等到孩童十六歲(舊時十六歲即成年)七月初七當天，便舉行祭祀以酬謝「七娘媽」。
人家,jîn-ke/lîn-ke,[名詞] 住宅、民家。
人家厝仔,jîn-ke-chhù-á/lîn-ke-chhù-á,[名詞] 民宅。
八家將,pat-ka-chiòng,[名詞] 陰司的鬼役。為迎神賽會陣頭之一。
人格,jîn-keh/lîn-keh,[名詞] 品格、品性。
人氣,jîn-khì/lîn-khì,[名詞] 人緣、人望。源自日語「人気（にんき）」。
刀砧,to-tiam,[名詞] 砧板。切割魚肉或蔬果時所墊的板子。
人馬,jîn-má/lîn-má,[名詞] 兵馬。泛指軍隊和武力裝備，及有相當力量的聚合人群。
入院,ji̍p-īⁿ/li̍p-īⁿ,[動詞] 住院。因為生病住進醫院就醫。
人參,jîn-sim/lîn-sim,[名詞] 草本植物。根和葉都可以做藥，是昂貴的中藥材。因為形狀像人，所以稱為「人參」。
人情,jîn-chêng/lîn-chêng,"[名詞] 恩惠、恩情。
[名詞] 人際關係，尤指禮尚往來。"
人情世事,jîn-chêng-sè-sū/lîn-chêng-sè-sū,[熟語] 人情世故。為人處世的應對進退，多用在婚喪喜慶等應酬、禮尚往來的事宜。
入教,ji̍p-kàu/li̍p-kàu,[動詞] 信教、皈依。
人望,jîn-bōng/lîn-bōng,[名詞] 眾人矚目。
人造,jîn-chō/lîn-chō,[形容詞] 由人工製造而成的。
刀喙,to-chhùi,[名詞] 刀口。
入場,ji̍p-tiûⁿ/li̍p-tiûⁿ,[動詞] 進場。進入會場、試場或戲院等特定場所。
了然,liáu-jiân/liáu-liân,[形容詞] 枉然、枉費。
力量,le̍k-liōng,[名詞] 力氣、能力。
刁意故,thiau-ì-kò͘,[形容詞] 故意、存心。
七爺,Chhit-iâ,[名詞] 神明的名稱。名字為謝必安，身材高大，和八爺范無救為好友，因為守信守義而死，死後被封入神界，是城隍爺出巡時的重要配祀神明。
刀銎,to-kheng,[名詞] 刀背。指刀無刃的一邊。
又閣,iū-koh,[副詞] 又、再，表示動作或現象的重複。
人影,lâng-iáⁿ,[名詞] 人的影子，也可以用來指人。
九層塔,káu-chàn-thah,[名詞] 草本植物，脣形科羅勒屬。花的顏色有白色、紫色等，因為花苞為九層狀，尖端排列成九行，所以稱為「九層塔」。其嫩莖跟葉子可食用，具有特殊香氣。
人範,lâng-pān,[名詞] 人品。指人的外在面貌或儀表。
