編號,語法點,例句
010-01,| [動詞]+有/無 | [tōng-sû]+ū/bô | 用於感官動詞，表示能/不能理解或分辨。 |,"['若講看有，是看有日本時代蔡秋桐的台語小說？', '土地的聲嗽是愛的密碼，因為按呢𪜶才聽有，', '真正予人捎無，𪜶到底是好額人抑是散赤人？', '大人的世界的代誌有的聽有，有的就聽無。', '有冊看無，你講怨嘆袂怨嘆！']"
010-02,| [動詞]+有/無+[賓語] | [tōng-sû]+ū/bô+([pin-gí]) | 表示能/不能達成該動詞的目標。 |,"['性地一下起，通街糴無米。', '啥物心情攏揣有一首歌來合。', '揣有幾个人真正去拄著魔神仔？', '三百、五百，買無一隻鹹水鴨。', '膨風水雞刣無肉，', '揣有幾个人真......', '有囡仔佇身軀邊經跤經手欲哪做有工課？']"
011-01,| 加+[動詞] | ke+[tōng-sû] | 表示數量增加，即「多……」。 |,"['加啉寡滾水。', '佇二月彼個月加算一工，叫做閏月，', '閣加食一屑仔。', '免加講，騙戇的，', '若是政府加關心弱勢者，敢是閣較應該替這个失去聲音个人撨摵咧？', '咱愛加種樹仔來保護地球，']"
011-02,| 加+[副詞] | ke+[tōng-sû] | 表示程度增加，即「更加……」、「……得多」。 |,"['有一領本島褲通拭，加足利便。', '母語若無好，欲共其他語言學予好，就加真食力。', '按牛的遭遇想著台灣人嘛無加偌𠢕。', '行起來感覺加真有安全感。', '是三百六十五日閣加較臨仔六點鐘，', '閣比進前加足有元氣！']"
011-03,| 減+[動詞] | kiám+[tōng-sû] | 表示數量減少，即「少……」。 |,"['閣有時仔像減跳一下，心臟袂輸欲停去的款式，', '按呢就會使減行一大節路，']"
012-01,| 愛/著/著愛 | ài/tio̍h/tio̍h-ài | 表必須、要求、期望。 |,"['落南上北的朋友愛注意天氣差異', '【著】又閣著開刀？', '【著愛】有病著愛醫，', '咱想欲予人看會起，著愛先尊存家己的語言。', '【愛】工課愛做雙份，才會當換一頓飽，', '有當時仔閣著食番薯簽配鹽，']"
013-01,| [動詞]+[補語] | [tōng-sû]+[pó͘-gí] | 表示該動詞產生的結果。 |,"['步道一路慢慢仔𬦰懸，', '教歹囡仔大細。', '選舉支票烏白開，選牢了無想欲兌現，', '電火球仔嘛趕緊共開開。', '早頓著食好，中晝頓著食飽，', '早頓著食好，......']"
014-01,| [動詞]+[賓語]+[補語] | [tōng-sû]+[pin-gí]+[pó͘-gí] | 表示該動賓詞組產生的結果。 |,"['你毋通看伊無。', '伊若啉酒醉，攏講伊無醉。', '到食飯飽的下晡時，']"
015-01,"| （雖然）……，毋過…… | (sui-jiân)..., m̄-koh... | 表示語意轉折，即「不過、但是、可是」。 |","['雖罔我少年，毋過對台語教學真有心。', '雖然大水無情，毋過人間有愛，', '雖罔我少年，......', '聽起來怪奇，毋過猶是留予逐家臆較趣味，', '寫矣，毋過印仔猶未頓。', '我嚨喉疼，毋過嗽攏無痰。']"
016-01,"| ……是……，（毋過）…… | ...sī..., (m̄-koh)... | 雖然……但是…… |","['好是好，做起來才知無簡單，', '伊好額是好額，一日到暗攏破病倒佇眠床頂', '伊好額是好額......', '雞胘好食是好食，毋過全全筋，阮老歲仔敢哺會loeh。']"
